City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Benguela,AO,71.4,broken clouds,-12.5763,13.4055,Hotel Praia Morena
4,Kavieng,PG,84.2,broken clouds,-2.5744,150.7967,Nusa Island Retreat
9,Bengkulu,ID,80.83,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
15,Hithadhoo,MV,82.56,overcast clouds,-0.6,73.0833,Scoop Guest House
18,Wanning,CN,82.44,scattered clouds,18.8003,110.3967,Paradise Hotel
19,Progreso,MX,73.51,clear sky,21.2833,-89.6667,Playa Linda Hotel
27,El Vigia,VE,74.59,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
30,Butaritari,KI,81.97,few clouds,3.0707,172.7902,Isles Sunset Lodge
31,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
32,Airai,TL,74.53,overcast clouds,-8.9266,125.4092, 
35,Souillac,MU,77.38,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
41,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
43,Kloulklubed,PW,86.5,few clouds,7.0419,134.2556,Storyboard Beach Resort
48,Eydhafushi,MV,81.45,overcast clouds,5.1033,73.0708,Soneva Fushi
49,Namatanai,PG,84.33,light rain,-3.6667,152.4333,Seagulls Inn Namatani
51,Carnarvon,AU,70.5,clear sky,-24.8667,113.6333,Hospitality Carnarvon
52,Mufumbwe,ZM,75.15,scattered clouds,-13.6833,24.8, 
53,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
54,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,Le four à pain
56,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
57,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
66,Ghogha,IN,84.31,haze,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
69,Atuona,PF,77.07,light rain,-9.8,-139.0333,Villa Enata
72,Mackay,AU,74.68,scattered clouds,-21.15,149.2,International Lodge Motel
77,Nisia Floresta,BR,77.38,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
