City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ostrovnoy,RU,68.0531,39.5131,46.49,79,90,21.14,overcast clouds
1,Lebu,CL,-37.6167,-73.65,50.43,95,100,15.17,light rain
2,Benguela,AO,-12.5763,13.4055,71.4,81,77,1.79,broken clouds
3,College,US,64.8569,-147.8028,36.59,88,20,3.44,few clouds
4,Kavieng,PG,-2.5744,150.7967,84.2,72,80,11.74,broken clouds
5,Bredasdorp,ZA,-34.5322,20.0403,57.16,67,27,10.13,scattered clouds
6,Vila Franca Do Campo,PT,37.7167,-25.4333,69.19,88,90,9.01,overcast clouds
7,Tazovskiy,RU,67.4667,78.7,35.2,74,94,6.58,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,45.48,68,85,8.5,overcast clouds
9,Bengkulu,ID,-3.8004,102.2655,80.83,82,66,7.27,light rain
10,Hermanus,ZA,-34.4187,19.2345,62.8,73,35,14.25,scattered clouds
11,Lompoc,US,34.6391,-120.4579,57.34,100,100,0.0,fog
12,Iqaluit,CA,63.7506,-68.5145,29.93,92,100,16.11,light snow
13,Mar Del Plata,AR,-38.0023,-57.5575,55.09,92,75,1.99,broken clouds
14,Rikitea,PF,-23.1203,-134.9692,69.84,59,69,19.84,broken clouds
15,Hithadhoo,MV,-0.6,73.0833,82.56,75,99,19.75,overcast clouds
16,Torrijos,ES,39.9819,-4.2835,66.07,84,0,10.22,clear sky
17,Thompson,CA,55.7435,-97.8558,28.56,74,100,5.75,overcast clouds
18,Wanning,CN,18.8003,110.3967,82.44,83,48,8.7,scattered clouds
19,Progreso,MX,21.2833,-89.6667,73.51,85,1,8.5,clear sky
20,Kirensk,RU,57.7853,108.1119,38.19,55,98,4.5,overcast clouds
21,Albany,US,42.6001,-73.9662,49.53,93,5,3.91,clear sky
22,Upernavik,GL,72.7868,-56.1549,18.14,85,97,7.05,overcast clouds
23,Lithakia,GR,37.7167,20.8333,67.28,52,20,9.22,few clouds
24,Pokhara,NP,28.2333,83.9833,67.37,98,100,1.14,moderate rain
25,Kaitong,CN,44.8135,123.15,50.23,21,85,9.57,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,38.86,81,20,13.8,few clouds
27,El Vigia,VE,8.6219,-71.6506,74.59,91,100,3.4,overcast clouds
28,Constitucion,CL,-35.3333,-72.4167,50.14,81,71,4.25,broken clouds
29,Klamath Falls,US,42.2249,-121.7817,61.86,64,0,3.44,clear sky
30,Butaritari,KI,3.0707,172.7902,81.97,77,12,15.55,few clouds
31,Avarua,CK,-21.2078,-159.775,75.25,73,75,11.5,broken clouds
32,Airai,TL,-8.9266,125.4092,74.53,55,97,3.06,overcast clouds
33,Rawson,AR,-43.3002,-65.1023,58.8,40,85,20.29,overcast clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,69.39,83,100,12.97,overcast clouds
35,Souillac,MU,-20.5167,57.5167,77.38,65,40,13.8,light rain
36,Puerto Ayora,EC,-0.7393,-90.3518,64.54,98,75,5.01,broken clouds
37,Cape Town,ZA,-33.9258,18.4232,62.38,73,75,8.05,light rain
38,Chokurdakh,RU,70.6333,147.9167,20.3,95,93,10.18,overcast clouds
39,Alausi,EC,-2.2,-78.8333,47.7,96,97,1.1,overcast clouds
40,Dikson,RU,73.5069,80.5464,33.4,97,100,17.02,overcast clouds
41,Vaini,TO,-21.2,-175.2,77.16,100,75,3.44,broken clouds
42,Punta Arenas,CL,-53.15,-70.9167,39.31,75,0,9.22,clear sky
43,Kloulklubed,PW,7.0419,134.2556,86.5,69,19,6.26,few clouds
44,Coihaique,CL,-45.5752,-72.0662,42.75,81,99,6.91,light rain
45,Yulara,AU,-25.2406,130.9889,93.04,12,40,17.27,scattered clouds
46,Egvekinot,RU,66.3167,-179.1667,30.92,98,100,25.14,snow
47,Syava,RU,58.0146,46.3222,46.26,86,100,2.66,overcast clouds
48,Eydhafushi,MV,5.1033,73.0708,81.45,77,87,18.32,overcast clouds
49,Namatanai,PG,-3.6667,152.4333,84.33,70,87,11.5,light rain
50,Flinders,AU,-34.5833,150.8552,63.68,92,99,3.0,light rain
51,Carnarvon,AU,-24.8667,113.6333,70.5,40,0,23.31,clear sky
52,Mufumbwe,ZM,-13.6833,24.8,75.15,20,33,12.28,scattered clouds
53,Georgetown,MY,5.4112,100.3354,87.73,73,20,8.05,few clouds
54,Saint-Philippe,RE,-21.3585,55.7679,76.59,64,32,13.94,scattered clouds
55,Zaragoza,ES,41.6561,-0.8773,63.01,76,20,8.05,few clouds
56,Hilo,US,19.7297,-155.09,78.28,93,100,5.75,moderate rain
57,Mahebourg,MU,-20.4081,57.7,77.29,65,40,13.8,scattered clouds
58,Svetlogorsk,BY,52.6333,29.7333,48.69,86,90,7.45,overcast clouds
59,Andilamena,MG,-17.0167,48.5833,67.75,59,43,12.28,scattered clouds
60,Tuktoyaktuk,CA,69.4541,-133.0374,34.39,92,100,19.82,overcast clouds
61,Ribeira Grande,PT,38.5167,-28.7,70.2,94,20,5.75,few clouds
62,Barrow,US,71.2906,-156.7887,33.82,80,75,18.41,broken clouds
63,Deputatskiy,RU,69.3,139.9,14.09,91,100,6.85,overcast clouds
64,Port Elizabeth,ZA,-33.918,25.5701,63.32,81,75,12.66,broken clouds
65,Hobart,AU,-42.8794,147.3294,55.26,80,75,14.97,broken clouds
66,Ghogha,IN,21.6833,72.2833,84.31,74,75,8.05,haze
67,Qaanaaq,GL,77.484,-69.3632,5.49,73,34,8.19,scattered clouds
68,Busselton,AU,-33.65,115.3333,58.19,64,95,15.12,overcast clouds
69,Atuona,PF,-9.8,-139.0333,77.07,76,14,21.14,light rain
70,Saskylakh,RU,71.9167,114.0833,16.66,91,97,12.59,overcast clouds
71,Nikolskoye,RU,59.7035,30.7861,55.29,95,99,9.95,overcast clouds
72,Mackay,AU,-21.15,149.2,74.68,75,31,14.32,scattered clouds
73,Coquimbo,CL,-29.9533,-71.3436,53.33,82,0,5.75,clear sky
74,Tromso,NO,69.6496,18.957,42.82,87,75,13.8,shower rain
75,Olavarria,AR,-36.8927,-60.3225,53.96,77,100,4.9,overcast clouds
76,Narsaq,GL,60.9167,-46.05,34.02,86,23,6.06,few clouds
77,Nisia Floresta,BR,-6.0911,-35.2086,77.38,94,39,4.94,scattered clouds
78,Longyan,CN,25.1072,117.0225,82.76,68,71,0.81,broken clouds
79,Tual,ID,-5.6667,132.75,83.05,78,100,12.3,overcast clouds
80,Nanortalik,GL,60.1432,-45.2371,35.74,88,18,10.47,few clouds
81,Pisco,PE,-13.7,-76.2167,59.05,82,100,2.3,overcast clouds
82,Jalu,LY,29.0331,21.5482,70.92,49,43,12.3,scattered clouds
83,Kavaratti,IN,10.5669,72.642,81.93,75,100,16.75,overcast clouds
84,Alice Springs,AU,-23.7,133.8833,94.55,40,0,19.57,clear sky
85,Seymchan,RU,62.8833,152.4333,22.3,85,100,10.16,light snow
86,Geraldton,AU,-28.7667,114.6,68.41,42,23,17.27,few clouds
87,Tiksi,RU,71.6872,128.8694,24.84,89,100,17.18,overcast clouds
88,Kapaa,US,22.0752,-159.319,78.78,76,75,9.22,broken clouds
89,Vostok,RU,46.4856,135.8833,39.61,36,81,12.59,broken clouds
90,Monte Azul,BR,-15.155,-42.8747,71.2,66,25,5.93,scattered clouds
91,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,18.41,scattered clouds
92,Pandan Niog,PH,6.2282,120.5631,83.44,72,47,1.97,light rain
93,Rancho Palos Verdes,US,33.7445,-118.387,68.99,92,40,5.01,scattered clouds
94,Victoria,HK,22.2855,114.1577,89.96,64,18,13.0,few clouds
95,Eyl,SO,7.9803,49.8164,84.31,58,38,17.98,scattered clouds
96,Olafsvik,IS,64.8945,-23.7142,43.34,71,100,9.04,overcast clouds
97,Talnakh,RU,69.4865,88.3972,31.21,94,99,4.97,overcast clouds
98,Saldanha,ZA,-33.0117,17.9442,55.45,75,100,3.51,overcast clouds
99,Yellowknife,CA,62.456,-114.3525,43.32,87,20,16.11,few clouds
