City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Eenhana,52,NA,2022-10-06 01:46:08,18,-17.4667,16.3333,69.46,4.59
1,Ciego De Avila,29,CU,2022-10-06 01:49:43,72,21.84,-78.7619,74.64,6.11
2,New Norfolk,100,AU,2022-10-06 01:49:44,61,-42.7826,147.0587,58.91,11.65
3,Hobart,75,AU,2022-10-06 01:49:39,69,-42.8794,147.3294,59.25,14.97
4,Hermanus,3,ZA,2022-10-06 01:49:44,82,-34.4187,19.2345,45.81,12.57
5,Nikolskoye,99,RU,2022-10-06 01:48:04,98,59.7035,30.7861,49.91,8.01
6,Puerto Ayora,95,EC,2022-10-06 01:48:40,93,-0.7393,-90.3518,67.55,5.99
7,Celestun,4,MX,2022-10-06 01:49:46,64,20.8667,-90.4,77.43,12.55
8,San Quintin,59,MX,2022-10-06 01:49:46,82,30.4833,-115.95,68.85,6.62
9,Kruisfontein,0,ZA,2022-10-06 01:49:46,90,-34.0033,24.7314,53.89,5.88
10,Ponta Do Sol,22,PT,2022-10-06 01:49:47,84,32.6667,-17.1,69.71,6.22
11,Piedras Negras,5,MX,2022-10-06 01:49:47,48,28.7,-100.5167,79.65,8.37
12,Clyde River,100,CA,2022-10-06 01:49:48,80,70.4692,-68.5914,25.03,19.57
13,Mandalgovi,2,MN,2022-10-06 01:49:48,21,45.7625,106.2708,39.25,10.2
14,Torbay,20,CA,2022-10-06 01:49:49,85,47.6666,-52.7314,52.27,19.57
15,Ushuaia,100,AR,2022-10-06 01:46:11,93,-54.8,-68.3,38.86,29.93
16,Mar Del Plata,0,AR,2022-10-06 01:49:49,87,-38.0023,-57.5575,59.09,5.75
17,Lorengau,73,PG,2022-10-06 01:49:50,71,-2.0226,147.2712,85.5,12.5
18,Komsomolskiy,0,UZ,2022-10-06 01:49:50,40,40.4272,71.7189,50.72,9.22
19,Eureka,46,US,2022-10-06 01:49:50,83,40.8021,-124.1637,60.21,1.01
20,Rikitea,71,PF,2022-10-06 01:46:15,59,-23.1203,-134.9692,69.94,20.24
21,Rawson,100,AR,2022-10-06 01:49:51,28,-43.3002,-65.1023,65.66,20.85
22,Cabo San Lucas,69,MX,2022-10-06 01:48:25,66,22.8909,-109.9124,83.52,3.0
23,Tuktoyaktuk,100,CA,2022-10-06 01:49:52,93,69.4541,-133.0374,33.8,14.97
24,Vila Velha,40,BR,2022-10-06 01:47:11,88,-20.3297,-40.2925,75.15,5.75
25,Chapais,99,CA,2022-10-06 01:48:12,95,49.7834,-74.8492,58.78,8.5
26,East London,100,ZA,2022-10-06 01:49:52,83,-33.0153,27.9116,63.61,10.89
27,Thompson,75,CA,2022-10-06 01:45:22,86,55.7435,-97.8558,28.56,13.8
28,Nanortalik,36,GL,2022-10-06 01:49:53,88,60.1432,-45.2371,37.92,14.72
29,Andenes,75,NO,2022-10-06 01:49:53,18,69.3143,16.1194,46.38,14.97
30,Mahon,0,ES,2022-10-06 01:49:54,88,39.8885,4.2658,66.76,3.44
31,Punta Arenas,0,CL,2022-10-06 01:46:14,76,-53.15,-70.9167,44.71,12.66
32,Lisakovsk,100,KZ,2022-10-06 01:49:55,25,52.5369,62.4936,45.79,9.26
33,Samsun,75,TR,2022-10-06 01:49:55,99,41.25,36.3333,61.56,2.3
34,Ulladulla,100,AU,2022-10-06 01:49:55,94,-35.35,150.4667,59.9,15.17
35,Cartagena,40,CO,2022-10-06 01:48:49,78,10.3997,-75.5144,82.02,2.3
36,Bathsheba,75,BB,2022-10-06 01:49:56,83,13.2167,-59.5167,81.21,16.11
37,Ribeira Grande,96,PT,2022-10-06 01:49:57,83,38.5167,-28.7,71.06,4.52
38,Alekseyevsk,94,RU,2022-10-06 01:49:57,54,57.8406,108.3492,33.13,5.35
39,Lebu,100,CL,2022-10-06 01:49:58,91,-37.6167,-73.65,50.88,10.92
40,Boende,100,CD,2022-10-06 01:49:58,96,-0.2167,20.8667,68.68,1.01
41,Arraial Do Cabo,100,BR,2022-10-06 01:49:58,85,-22.9661,-42.0278,69.08,12.93
42,Bachaquero,100,VE,2022-10-06 01:49:59,82,9.9694,-71.1494,80.22,5.55
43,Jamestown,0,US,2022-10-06 01:49:37,67,42.097,-79.2353,55.04,1.01
44,Vaini,100,TO,2022-10-06 01:50:00,83,-21.2,-175.2,76.6,8.68
45,Khatanga,100,RU,2022-10-06 01:50:01,99,71.9667,102.5,6.46,4.05
46,Albany,12,US,2022-10-06 01:50:47,91,42.6001,-73.9662,52.74,4.14
47,Busselton,89,AU,2022-10-06 01:51:01,62,-33.65,115.3333,57.42,14.47
48,Alofi,75,NU,2022-10-06 01:51:02,69,-19.0595,-169.9187,82.29,13.8
49,Vardo,100,NO,2022-10-06 01:51:03,76,70.3705,31.1107,44.58,16.11
50,Ibaiti,100,BR,2022-10-06 01:51:03,82,-23.8486,-50.1878,64.06,5.86
51,Atuona,1,PF,2022-10-06 01:51:04,77,-9.8,-139.0333,76.91,18.14
52,Loralai,0,PK,2022-10-06 01:51:04,22,30.3705,68.598,65.52,3.36
53,Cayenne,0,GF,2022-10-06 01:46:13,89,4.9333,-52.3333,78.84,3.44
54,Hilo,75,US,2022-10-06 01:51:05,83,19.7297,-155.09,82.26,9.22
55,Kavaratti,100,IN,2022-10-06 01:51:05,76,10.5669,72.642,81.46,15.43
56,Lavrentiya,100,RU,2022-10-06 01:51:06,93,65.5833,-171.0,38.77,34.11
57,Hurghada,0,EG,2022-10-06 01:51:06,41,27.2574,33.8129,80.64,9.22
58,Rocha,100,UY,2022-10-06 01:51:07,95,-34.4833,-54.3333,54.36,7.52
59,Codrington,100,AU,2022-10-06 01:51:08,81,-38.2667,141.9667,63.3,12.88
60,Vanimo,85,PG,2022-10-06 01:51:08,68,-2.6741,141.3028,85.84,9.91
61,Berlevag,100,NO,2022-10-06 01:51:09,81,70.8578,29.0864,42.8,11.5
62,Hervey Bay,41,AU,2022-10-06 01:51:09,68,-25.2986,152.8535,70.43,13.15
63,Acapulco,81,MX,2022-10-06 01:51:10,81,16.8634,-99.8901,79.56,5.53
64,Cherskiy,100,RU,2022-10-06 01:51:10,94,68.75,161.3,29.88,10.38
65,Babushkin,100,RU,2022-10-06 01:51:11,49,51.7122,105.8647,40.21,2.91
66,Awbari,0,LY,2022-10-06 01:51:11,42,26.5921,12.7805,69.22,8.59
67,Pueblo Nuevo,85,MX,2022-10-06 01:51:11,94,23.3833,-105.3833,54.1,3.13
68,Kavieng,91,PG,2022-10-06 01:51:12,71,-2.5744,150.7967,84.61,14.18
69,Krasnyy Chikoy,16,RU,2022-10-06 01:51:13,44,50.3643,108.7512,36.64,1.86
70,San Patricio,7,US,2022-10-06 01:51:14,57,28.017,-97.5169,80.46,8.41
71,Kaitangata,95,NZ,2022-10-06 01:51:14,80,-46.2817,169.8464,42.87,17.58
72,Cabinda,100,AO,2022-10-06 01:51:14,87,-5.55,12.2,75.36,6.87
73,Hofn,42,IS,2022-10-06 01:51:15,57,64.2539,-15.2082,42.33,10.87
74,Batticaloa,100,LK,2022-10-06 01:51:16,72,7.7102,81.6924,80.08,4.18
75,Sept-Iles,75,CA,2022-10-06 01:48:59,93,50.2001,-66.3821,50.52,2.3
76,Sioux Lookout,75,CA,2022-10-06 01:51:17,87,50.1001,-91.917,50.07,14.97
